Year,Month,Day,Hour,<AshlandElev>,<AADischarge>
2024,8,1,1,98.04,2269
2024,8,1,2,97.37,1983
2024,8,1,3,97.07,1863
2024,8,1,4,96.97,1824
2024,8,1,5,96.69,1718
2024,8,1,6,96.7,1721
2024,8,1,7,96.99,1831
2024,8,1,8,99.12,2941
2024,8,1,9,99.36,2927
2024,8,1,10,99.3,2881
2024,8,1,11,99.33,2896
2024,8,1,12,99.34,2902
2024,8,1,13,99.3,2881
2024,8,1,14,99.31,2886
2024,8,1,15,99.33,2896
2024,8,1,16,99.3,2881
2024,8,1,17,99.32,2891
2024,8,1,18,99.34,2902
2024,8,1,19,99.34,2902
2024,8,1,20,99.29,2875
2024,8,1,21,99.36,2912
2024,8,1,22,96.99,1626
2024,8,1,23,96.88,1778
2024,8,1,24,96.91,1801
2024,8,2,1,96.64,1699
2024,8,2,2,96.46,1634
2024,8,2,3,96.43,1623
2024,8,2,4,96.45,1630
2024,8,2,5,96.74,1736
2024,8,2,6,97.28,1946
2024,8,2,7,97.28,1946
2024,8,2,8,99.04,2873
2024,8,2,9,99.32,2909
2024,8,2,10,99.27,2865
2024,8,2,11,99.27,2865
2024,8,2,12,99.31,2886
2024,8,2,13,99.34,2902
2024,8,2,14,99.39,2928
2024,8,2,15,99.28,2870
2024,8,2,16,99.32,2891
2024,8,2,17,99.34,2902
2024,8,2,18,99.35,2907
2024,8,2,19,99.36,2912
2024,8,2,20,99.27,2865
2024,8,2,21,99.37,2917
2024,8,2,22,97.64,1956
2024,8,2,23,97.17,1859
2024,8,2,24,96.88,1789
2024,8,3,1,96.43,1623
2024,8,3,2,96.18,1535
2024,8,3,3,96.17,1532
2024,8,3,4,96.24,1556
2024,8,3,5,96.42,1619
2024,8,3,6,97.07,1863
2024,8,3,7,97.6,2078
2024,8,3,8,99.22,2951
2024,8,3,9,99.35,2915
2024,8,3,10,99.31,2886
2024,8,3,11,99.3,2881
2024,8,3,12,99.29,2875
2024,8,3,13,99.26,2860
2024,8,3,14,99.29,2875
2024,8,3,15,99.27,2865
2024,8,3,16,99.26,2860
2024,8,3,17,99.31,2886
2024,8,3,18,99.31,2886
2024,8,3,19,99.34,2902
2024,8,3,20,99.4,2933
2024,8,3,21,99.34,2902
2024,8,3,22,98.08,2191
2024,8,3,23,97.49,1981
2024,8,3,24,97.31,1958
2024,8,4,1,97.32,1962
2024,8,4,2,97.14,1890
2024,8,4,3,97,1835
2024,8,4,4,96.99,1831
2024,8,4,5,96.85,1778
2024,8,4,6,96.69,1718
2024,8,4,7,96.97,1824
2024,8,4,8,99.03,2892
2024,8,4,9,99.29,2892
2024,8,4,10,99.3,2881
2024,8,4,11,99.31,2886
2024,8,4,12,99.54,3008
2024,8,4,13,99.6,3041
2024,8,4,14,99.77,3134
2024,8,4,15,99.44,2955
2024,8,4,16,99.4,2933
2024,8,4,17,99.41,2939
2024,8,4,18,99.55,3014
2024,8,4,19,99.38,2923
2024,8,4,20,99.31,2886
2024,8,4,21,99.42,2944
2024,8,4,22,97.49,1874
2024,8,4,23,97.02,1799
2024,8,4,24,97.34,1971
2024,8,5,1,97.14,1890
2024,8,5,2,96.56,1670
2024,8,5,3,96.36,1598
2024,8,5,4,96.37,1602
2024,8,5,5,96.6,1684
2024,8,5,6,96.93,1808
2024,8,5,7,97.55,2057
2024,8,5,8,99.28,2989
